LLM,Alignment,Precision,Recall,F1
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/target,100.00,13.33,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/no_validation,10.00,6.67,8.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/llm_with_agent,100.00,13.33,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/source_no_validation,12.50,18.75,15.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/source,30.00,18.75,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/target_no_validation,6.98,18.75,10.17
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/target,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/no_validation,16.67,18.75,17.65
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cn/component/llm_with_agent,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/source_no_validation,21.05,50.00,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/source,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/target_no_validation,20.00,56.25,29.51
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/target,38.46,31.25,34.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/no_validation,33.33,50.00,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-cz/component/llm_with_agent,75.00,18.75,30.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/source_no_validation,30.77,50.00,38.10
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/source,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/target_no_validation,27.59,50.00,35.56
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/target,58.33,43.75,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/no_validation,36.84,43.75,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-de/component/llm_with_agent,57.14,25.00,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/source_no_validation,31.58,75.00,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/source,57.14,50.00,53.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/target_no_validation,23.53,75.00,35.82
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/target,45.45,62.50,52.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/no_validation,46.15,75.00,57.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-en/component/llm_with_agent,63.64,43.75,51.85
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/source_no_validation,22.50,56.25,32.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/source,38.46,31.25,34.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/target_no_validation,16.36,56.25,25.35
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/target,33.33,31.25,32.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/no_validation,34.62,56.25,42.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-fr/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/source_no_validation,24.14,43.75,31.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/source,66.67,25.00,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/target_no_validation,15.00,37.50,21.43
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/target,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/no_validation,33.33,37.50,35.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-nl/component/llm_with_agent,100.00,25.00,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/source_no_validation,18.00,56.25,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/source,27.27,18.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/target_no_validation,17.65,56.25,26.87
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/target,31.58,37.50,34.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/no_validation,26.67,50.00,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-pt/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/source_no_validation,25.00,43.75,31.82
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/source,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/target_no_validation,24.00,37.50,29.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/target,54.55,37.50,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/no_validation,31.58,37.50,34.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ru/component/llm_with_agent,57.14,25.00,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/source_no_validation,23.53,25.00,24.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/source,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/target_no_validation,11.11,25.00,15.38
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/target,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/no_validation,26.67,25.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cn/component/llm_with_agent,42.86,18.75,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/source_no_validation,24.24,50.00,32.65
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/source,17.65,18.75,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/target_no_validation,23.26,62.50,33.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/target,16.67,12.50,14.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/no_validation,33.33,50.00,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-cz/component/llm_with_agent,25.00,12.50,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/source_no_validation,25.00,43.75,31.82
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/source,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/target_no_validation,17.50,43.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/target,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/no_validation,31.82,43.75,36.84
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-de/component/llm_with_agent,66.67,37.50,48.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/source_no_validation,19.05,50.00,27.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/source,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/target_no_validation,11.48,43.75,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/target,20.00,18.75,19.35
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/no_validation,28.00,43.75,34.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-en/component/llm_with_agent,33.33,18.75,24.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/source_no_validation,16.67,43.75,24.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/source,46.67,43.75,45.16
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/target_no_validation,13.73,43.75,20.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/target,38.46,31.25,34.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/no_validation,26.92,43.75,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-es/component/llm_with_agent,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/source_no_validation,24.14,43.75,31.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/source,42.86,37.50,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/target_no_validation,16.33,50.00,24.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/target,18.75,18.75,18.75
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/no_validation,33.33,43.75,37.84
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-nl/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/source_no_validation,18.92,43.75,26.42
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/source,36.36,25.00,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/target_no_validation,14.89,43.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/target,26.67,25.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/no_validation,30.43,43.75,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-pt/component/llm_with_agent,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/source_no_validation,30.43,43.75,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/source,42.86,37.50,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/target_no_validation,21.43,37.50,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/target,63.64,43.75,51.85
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/no_validation,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-fr-ru/component/llm_with_agent,66.67,37.50,48.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/source_no_validation,9.52,12.50,10.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/source,28.57,12.50,17.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/target_no_validation,5.41,12.50,7.55
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/target,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/no_validation,15.38,12.50,13.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cn/component/llm_with_agent,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/source_no_validation,22.22,50.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/source,66.67,37.50,48.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/target_no_validation,21.95,56.25,31.58
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/target,75.00,37.50,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/no_validation,40.00,50.00,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-cz/component/llm_with_agent,83.33,31.25,45.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/source_no_validation,24.14,43.75,31.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/source,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/target_no_validation,17.07,43.75,24.56
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/target,75.00,37.50,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/no_validation,38.89,43.75,41.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-de/component/llm_with_agent,85.71,37.50,52.17
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/source_no_validation,22.58,43.75,29.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/source,28.57,25.00,26.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/target_no_validation,16.00,50.00,24.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/target,17.39,25.00,20.51
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/no_validation,36.84,43.75,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-en/component/llm_with_agent,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/source_no_validation,16.67,37.50,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/source,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/target_no_validation,11.76,37.50,17.91
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/target,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/no_validation,26.09,37.50,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-es/component/llm_with_agent,83.33,31.25,45.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/source_no_validation,21.88,43.75,29.17
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/source,18.18,12.50,14.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/target_no_validation,12.73,43.75,19.72
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/target,46.15,37.50,41.38
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/no_validation,33.33,43.75,37.84
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-fr/component/llm_with_agent,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/source_no_validation,18.52,31.25,23.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/source,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/target_no_validation,13.89,31.25,19.23
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/target,36.36,25.00,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/no_validation,33.33,31.25,32.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-pt/component/llm_with_agent,42.86,18.75,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/source_no_validation,23.81,31.25,27.03
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/source,54.55,37.50,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/target_no_validation,30.00,37.50,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/target,62.50,31.25,41.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/no_validation,38.46,31.25,34.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-nl-ru/component/llm_with_agent,62.50,31.25,41.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ar/component/source_no_validation,6.25,6.67,6.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ar/component/source,20.00,6.67,10.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ar/component/target_no_validation,7.69,6.67,7.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ar/component/no_validation,9.09,6.67,7.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/source_no_validation,13.79,25.00,17.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/source,28.57,25.00,26.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/target_no_validation,9.76,25.00,14.04
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/target,22.22,12.50,16.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/no_validation,20.00,25.00,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cn/component/llm_with_agent,33.33,12.50,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/source_no_validation,15.79,37.50,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/source,30.00,18.75,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/target_no_validation,17.39,50.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/target,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/no_validation,24.00,37.50,29.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-cz/component/llm_with_agent,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/source_no_validation,23.08,37.50,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/source,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/target_no_validation,16.67,37.50,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/target,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/no_validation,33.33,37.50,35.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-de/component/llm_with_agent,66.67,25.00,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/source_no_validation,21.95,56.25,31.58
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/source,43.75,43.75,43.75
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/target_no_validation,16.13,62.50,25.64
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/target,30.43,43.75,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/no_validation,30.00,56.25,39.13
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-en/component/llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/source_no_validation,14.06,56.25,22.50
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/source,26.32,31.25,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/target_no_validation,13.16,62.50,21.74
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/target,22.22,25.00,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/no_validation,25.00,56.25,34.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-es/component/llm_with_agent,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/source_no_validation,20.59,43.75,28.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/source,30.77,25.00,27.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/target_no_validation,18.60,50.00,27.12
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/target,30.77,25.00,27.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/no_validation,28.00,43.75,34.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-fr/component/llm_with_agent,25.00,12.50,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/source_no_validation,18.52,31.25,23.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/source,36.36,25.00,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/target_no_validation,19.35,37.50,25.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/target,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/no_validation,33.33,31.25,32.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-nl/component/llm_with_agent,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/source_no_validation,29.17,43.75,35.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/source,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/target_no_validation,25.00,43.75,31.82
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/target,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/no_validation,36.84,43.75,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-pt-ru/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/source_no_validation,26.67,26.67,26.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/source,33.33,20.00,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/target_no_validation,19.05,26.67,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/target,50.00,26.67,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/no_validation,33.33,26.67,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-ar/component/llm_with_agent,50.00,20.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/source_no_validation,17.65,18.75,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/source,28.57,12.50,17.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/target_no_validation,8.57,18.75,11.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/target,23.08,18.75,20.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/no_validation,15.38,12.50,13.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cn/component/llm_with_agent,33.33,6.25,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/source_no_validation,15.91,43.75,23.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/source,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/target_no_validation,18.18,50.00,26.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/target,30.00,37.50,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/no_validation,31.82,43.75,36.84
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-cz/component/llm_with_agent,62.50,31.25,41.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/source_no_validation,28.00,43.75,34.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/source,50.00,43.75,46.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/target_no_validation,21.43,37.50,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/target,42.86,37.50,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/no_validation,33.33,37.50,35.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-de/component/llm_with_agent,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/source_no_validation,24.32,56.25,33.96
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/source,40.91,56.25,47.37
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/target_no_validation,20.00,56.25,29.51
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/target,32.14,56.25,40.91
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/no_validation,34.62,56.25,42.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-en/component/llm_with_agent,50.00,56.25,52.94
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/source_no_validation,28.12,56.25,37.50
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/source,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/target_no_validation,23.53,50.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/target,50.00,43.75,46.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/no_validation,38.10,50.00,43.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-es/component/llm_with_agent,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/source_no_validation,26.09,37.50,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/source,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/target_no_validation,23.08,37.50,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/target,26.67,25.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/no_validation,29.41,31.25,30.30
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-fr/component/llm_with_agent,33.33,12.50,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/source_no_validation,20.00,31.25,24.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/source,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/target_no_validation,10.71,18.75,13.64
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/target,23.08,18.75,20.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/no_validation,18.75,18.75,18.75
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-nl/component/llm_with_agent,33.33,12.50,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/source_no_validation,21.43,37.50,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/source,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/target_no_validation,25.00,37.50,30.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/target,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/no_validation,30.00,37.50,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ru-pt/component/llm_with_agent,50.00,25.00,33.33
